type,load_id,booking_number,reference_number,container_number,customer,port,warehouse,address,document_cutoff,delivery_need_date,load_date,lfd,status,driver_name,truck_assigned,chassis,size,billing_notes,dispatcher_notes,ready_for_profittools,rate,steamship_line,vessel_name,terminal,pickup_appointment,delivery_appointment,empty_return_location,empty_return_date,chassis_provider,pickup_reference,delivery_reference,invoice_status,driver_pay_status,customer_rate,carrier_pay,accessorials,margin
Import,CLT-2026-0001,IMP-2026-0001,REF-000001,ONEU555001,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-14,2026-06-15,2026-06-13,2026-06-14,New,,,,20,,Sample load for Supabase/TMS testing.,false,700.00,Maersk,GULF TRADER,Bayport Terminal,2026-06-13 08:00:00,2026-06-15 09:00:00,Bayport Empty Yard,2026-06-16,DCLI,PU-00001,DL-00001,Paid,Pending,700.00,418.11,175.00,456.89
Export,CLT-2026-0002,EXP-2026-0002,REF-000002,TGHU555002,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-13,2026-06-15,2026-06-13,2026-06-14,Hold/Need Info,,,,40,,Sample load for Supabase/TMS testing.,false,775.00,MSC,TEXAS STAR,Barbours Cut,2026-06-13 07:00:00,2026-06-15 09:00:00,,,TRAC,PU-00002,DL-00002,Paid,Pending,775.00,427.08,0.00,347.92
Import Local,CLT-2026-0003,IML-2026-0003,REF-000003,IML555003,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-12,2026-06-15,2026-06-13,2026-06-16,Awaiting Appointment,,,,40HC,,Sample load for Supabase/TMS testing.,false,775.00,,,,2026-06-13 13:00:00,2026-06-15 11:00:00,,,,PU-00003,DL-00003,Not Ready,Pending,775.00,418.38,0.00,356.62
Export Local,CLT-2026-0004,EXL-2026-0004,REF-000004,REF555004,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-13,2026-06-15,2026-06-13,,Ready to Dispatch,,,,40ST,,Sample load for Supabase/TMS testing.,false,775.00,,,,2026-06-13 09:00:00,2026-06-15 09:00:00,,,,PU-00004,DL-00004,Not Ready,Pending,775.00,497.12,0.00,277.88
Import,CLT-2026-0005,IMP-2026-0005,REF-000005,ONEU555005,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-14,2026-06-15,2026-06-14,2026-06-16,Assigned,Luis Garcia,CT-105,CH-2005,20FR,,Sample load for Supabase/TMS testing.,false,550.00,CMA CGM,HOUSTON BRIDGE,Turning Basin,2026-06-14 13:00:00,2026-06-15 10:00:00,Bayport Empty Yard,2026-06-16,Private Chassis,PU-00005,DL-00005,Not Ready,Approved,550.00,327.77,125.00,347.23
Export,CLT-2026-0006,EXP-2026-0006,REF-000006,FCIU555006,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-12,2026-06-15,2026-06-15,2026-06-16,En Route to Pickup,Rafael Gomez,CT-106,CH-2006,40FR,,Sample load for Supabase/TMS testing.,false,775.00,Evergreen,GULF TRADER,Bayport Terminal,2026-06-15 09:00:00,2026-06-15 13:00:00,,,DCLI,PU-00006,DL-00006,Ready,Approved,775.00,457.96,0.00,317.04
Import Local,CLT-2026-0007,IML-2026-0007,REF-000007,,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-14,2026-06-15,2026-06-15,,At Pickup,Diego Moreno,CT-107,CH-2007,20,,Sample load for Supabase/TMS testing.,false,1200.00,,,,2026-06-15 10:00:00,2026-06-15 10:00:00,,,,PU-00007,DL-00007,Ready,Approved,1200.00,692.56,0.00,507.44
Export Local,CLT-2026-0008,EXL-2026-0008,REF-000008,EXL555008,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-14,2026-06-15,2026-06-14,,Loaded,Oscar Silva,CT-108,CH-2008,40,,Sample load for Supabase/TMS testing.,false,625.00,,,,2026-06-14 09:00:00,2026-06-15 15:00:00,,,,PU-00008,DL-00008,Paid,Paid,625.00,357.39,0.00,267.61
Import,CLT-2026-0009,IMP-2026-0009,REF-000009,HLXU555009,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-14,2026-06-15,2026-06-15,2026-06-17,En Route To Delivery,Andre Johnson,CT-109,CH-2001,40HC,,Sample load for Supabase/TMS testing.,false,1350.00,MSC,BAYPORT EXPRESS,Ceres Terminal,2026-06-15 09:00:00,2026-06-15 15:00:00,Bayport Empty Yard,2026-06-16,COCP,PU-00009,DL-00009,Not Ready,Pending,1350.00,666.80,0.00,683.20
Export,CLT-2026-0010,EXP-2026-0010,REF-000010,TRHU555010,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-13,2026-06-15,2026-06-15,2026-06-17,Delivered,Sam Patel,CT-110,CH-2002,40ST,POD needed before billing.,Sample load for Supabase/TMS testing.,false,925.00,Hapag-Lloyd,HOUSTON BRIDGE,Turning Basin,2026-06-15 07:00:00,2026-06-15 09:00:00,,,Private Chassis,PU-00010,DL-00010,Invoiced,Paid,925.00,455.59,75.00,544.41
Import Local,CLT-2026-0011,IML-2026-0011,REF-000011,REF555011,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-14,2026-06-15,2026-06-14,,Returning Empty,Victor Reza,CT-101,CH-2003,20FR,,Sample load for Supabase/TMS testing.,false,1350.00,,,,2026-06-14 08:00:00,2026-06-15 09:00:00,,,,PU-00011,DL-00011,Paid,Approved,1350.00,753.02,175.00,771.98
Export Local,CLT-2026-0012,EXL-2026-0012,REF-000012,REF555012,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-13,2026-06-15,2026-06-13,2026-06-16,POD Received,Miguel Torres,CT-102,CH-2004,40FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1350.00,,,,2026-06-13 08:00:00,2026-06-15 09:00:00,,,,PU-00012,DL-00012,Ready,Pending,1350.00,740.75,0.00,609.25
Import,CLT-2026-0013,IMP-2026-0013,REF-000013,HLXU555013,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-12,2026-06-15,2026-06-15,2026-06-15,Ready for ProfitTools,Carlos Ramirez,CT-103,CH-2005,20,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1050.00,Evergreen,LONE PIONEER,Port Houston,2026-06-15 13:00:00,2026-06-15 08:00:00,Bayport Empty Yard,2026-06-16,FlexiVan,PU-00013,DL-00013,Ready,Paid,1050.00,552.64,75.00,572.36
Export,CLT-2026-0014,EXP-2026-0014,REF-000014,TGHU555014,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-12,2026-06-15,2026-06-14,2026-06-14,Exported to ProfitTools,Juan Martinez,CT-104,CH-2006,40,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,850.00,ZIM,BAYPORT EXPRESS,Ceres Terminal,2026-06-14 14:00:00,2026-06-15 13:00:00,,,COCP,PU-00014,DL-00014,Exported,Approved,850.00,513.16,0.00,336.84
Import Local,CLT-2026-0015,IML-2026-0015,REF-000015,REF555015,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-14,2026-06-15,2026-06-14,2026-06-16,Invoiced,Luis Garcia,CT-105,CH-2007,40HC,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,850.00,,,,2026-06-14 07:00:00,2026-06-15 15:00:00,,,,PU-00015,DL-00015,Invoiced,Pending,850.00,547.72,0.00,302.28
Export Local,CLT-2026-0016,EXL-2026-0016,REF-000016,EXL555016,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-13,2026-06-15,2026-06-13,,Closed,Rafael Gomez,CT-106,CH-2008,40ST,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,775.00,,,,2026-06-13 13:00:00,2026-06-15 13:00:00,,,,PU-00016,DL-00016,Invoiced,Paid,775.00,372.44,0.00,402.56
Import,CLT-2026-0017,IMP-2026-0017,REF-000017,HLXU555017,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-12,2026-06-15,2026-06-15,2026-06-16,New,,,,20FR,,Sample load for Supabase/TMS testing.,false,925.00,Hapag-Lloyd,TEXAS STAR,Barbours Cut,2026-06-15 07:00:00,2026-06-15 08:00:00,Bayport Empty Yard,2026-06-16,TRAC,PU-00017,DL-00017,Ready,Pending,925.00,578.81,0.00,346.19
Export,CLT-2026-0018,EXP-2026-0018,REF-000018,TGHU555018,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-12,2026-06-15,2026-06-15,2026-06-14,Hold/Need Info,,,,40FR,,Sample load for Supabase/TMS testing.,false,625.00,ONE,LONE PIONEER,Port Houston,2026-06-15 14:00:00,2026-06-15 11:00:00,,,FlexiVan,PU-00018,DL-00018,Ready,Pending,625.00,403.50,125.00,346.50
Import Local,CLT-2026-0019,IML-2026-0019,REF-000019,IML555019,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-13,2026-06-15,2026-06-13,,Awaiting Appointment,,,,20,,Sample load for Supabase/TMS testing.,false,1350.00,,,,2026-06-13 08:00:00,2026-06-15 10:00:00,,,,PU-00019,DL-00019,Ready,Paid,1350.00,843.06,75.00,581.94
Export Local,CLT-2026-0020,EXL-2026-0020,REF-000020,LOCAL555020,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-12,2026-06-15,2026-06-13,,Ready to Dispatch,,,,40,,Sample load for Supabase/TMS testing.,false,1050.00,,,,2026-06-13 14:00:00,2026-06-15 10:00:00,,,,PU-00020,DL-00020,Exported,Approved,1050.00,681.48,175.00,543.52
Import,CLT-2026-0021,IMP-2026-0021,REF-000021,MAEU555021,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-13,2026-06-15,2026-06-13,2026-06-14,Assigned,Victor Reza,CT-101,CH-2005,40HC,,Sample load for Supabase/TMS testing.,false,925.00,ZIM,GULF TRADER,Bayport Terminal,2026-06-13 08:00:00,2026-06-15 08:00:00,Bayport Empty Yard,2026-06-16,DCLI,PU-00021,DL-00021,Ready,Paid,925.00,420.14,125.00,629.86
Export,CLT-2026-0022,EXP-2026-0022,REF-000022,TGHU555022,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-14,2026-06-15,2026-06-15,2026-06-14,En Route to Pickup,Miguel Torres,CT-102,CH-2006,40ST,,Sample load for Supabase/TMS testing.,false,550.00,Maersk,TEXAS STAR,Barbours Cut,2026-06-15 08:00:00,2026-06-15 08:00:00,,,TRAC,PU-00022,DL-00022,Paid,Pending,550.00,342.06,0.00,207.94
Import Local,CLT-2026-0023,IML-2026-0023,REF-000023,REF555023,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-12,2026-06-15,2026-06-14,,At Pickup,Carlos Ramirez,CT-103,CH-2007,20FR,,Sample load for Supabase/TMS testing.,false,700.00,,,,2026-06-14 08:00:00,2026-06-15 13:00:00,,,,PU-00023,DL-00023,Paid,Approved,700.00,416.27,125.00,408.73
Export Local,CLT-2026-0024,EXL-2026-0024,REF-000024,REF555024,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-13,2026-06-15,2026-06-15,2026-06-16,Loaded,Juan Martinez,CT-104,CH-2008,40FR,,Sample load for Supabase/TMS testing.,false,625.00,,,,2026-06-15 08:00:00,2026-06-15 08:00:00,,,,PU-00024,DL-00024,Invoiced,Approved,625.00,363.62,0.00,261.38
Import,CLT-2026-0025,IMP-2026-0025,REF-000025,MSCU555025,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-13,2026-06-16,2026-06-15,2026-06-15,En Route To Delivery,Luis Garcia,CT-105,CH-2001,20,,Sample load for Supabase/TMS testing.,false,925.00,ONE,HOUSTON BRIDGE,Turning Basin,2026-06-15 07:00:00,2026-06-16 11:00:00,Bayport Empty Yard,2026-06-17,Private Chassis,PU-00025,DL-00025,Ready,Pending,925.00,564.36,0.00,360.64
Export,CLT-2026-0026,EXP-2026-0026,REF-000026,BEAU555026,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-13,2026-06-16,2026-06-16,2026-06-18,Delivered,Rafael Gomez,CT-106,CH-2002,40,POD needed before billing.,Sample load for Supabase/TMS testing.,false,850.00,CMA CGM,GULF TRADER,Bayport Terminal,2026-06-16 10:00:00,2026-06-16 09:00:00,,,DCLI,PU-00026,DL-00026,Invoiced,Paid,850.00,461.15,0.00,388.85
Import Local,CLT-2026-0027,IML-2026-0027,REF-000027,IML555027,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-15,2026-06-16,2026-06-16,2026-06-17,Returning Empty,Diego Moreno,CT-107,CH-2003,40HC,,Sample load for Supabase/TMS testing.,false,550.00,,,,2026-06-16 13:00:00,2026-06-16 16:00:00,,,,PU-00027,DL-00027,Ready,Approved,550.00,354.09,0.00,195.91
Export Local,CLT-2026-0028,EXL-2026-0028,REF-000028,LOCAL555028,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-14,2026-06-16,2026-06-15,,POD Received,Oscar Silva,CT-108,CH-2004,40ST,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,700.00,,,,2026-06-15 10:00:00,2026-06-16 08:00:00,,,,PU-00028,DL-00028,Ready,Approved,700.00,368.06,75.00,406.94
Import,CLT-2026-0029,IMP-2026-0029,REF-000029,CMAU555029,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-14,2026-06-16,2026-06-15,2026-06-18,Ready for ProfitTools,Andre Johnson,CT-109,CH-2005,20FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1200.00,Maersk,BAYPORT EXPRESS,Ceres Terminal,2026-06-15 14:00:00,2026-06-16 15:00:00,Bayport Empty Yard,2026-06-17,COCP,PU-00029,DL-00029,Ready,Pending,1200.00,577.15,0.00,622.85
Export,CLT-2026-0030,EXP-2026-0030,REF-000030,TGHU555030,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-13,2026-06-16,2026-06-16,2026-06-19,Exported to ProfitTools,Sam Patel,CT-110,CH-2006,40FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,550.00,MSC,HOUSTON BRIDGE,Turning Basin,2026-06-16 14:00:00,2026-06-16 10:00:00,,,Private Chassis,PU-00030,DL-00030,Exported,Paid,550.00,253.02,75.00,371.98
Import Local,CLT-2026-0031,IML-2026-0031,REF-000031,IML555031,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-15,2026-06-16,2026-06-16,,Invoiced,Victor Reza,CT-101,CH-2007,20,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,700.00,,,,2026-06-16 07:00:00,2026-06-16 16:00:00,,,,PU-00031,DL-00031,Invoiced,Approved,700.00,324.59,0.00,375.41
Export Local,CLT-2026-0032,EXL-2026-0032,REF-000032,LOCAL555032,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-13,2026-06-16,2026-06-16,,Closed,Miguel Torres,CT-102,CH-2008,40,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,550.00,,,,2026-06-16 13:00:00,2026-06-16 13:00:00,,,,PU-00032,DL-00032,Invoiced,Paid,550.00,315.63,75.00,309.37
Import,CLT-2026-0033,IMP-2026-0033,REF-000033,,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-14,2026-06-16,2026-06-14,2026-06-17,New,,,,40HC,,Sample load for Supabase/TMS testing.,false,925.00,CMA CGM,LONE PIONEER,Port Houston,2026-06-14 14:00:00,2026-06-16 15:00:00,Bayport Empty Yard,2026-06-17,FlexiVan,PU-00033,DL-00033,Ready,Paid,925.00,460.41,75.00,539.59
Export,CLT-2026-0034,EXP-2026-0034,REF-000034,TRHU555034,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-14,2026-06-16,2026-06-14,2026-06-18,Hold/Need Info,,,,40ST,,Sample load for Supabase/TMS testing.,false,1200.00,Evergreen,BAYPORT EXPRESS,Ceres Terminal,2026-06-14 07:00:00,2026-06-16 08:00:00,,,COCP,PU-00034,DL-00034,Not Ready,Pending,1200.00,689.08,125.00,635.92
Import Local,CLT-2026-0035,IML-2026-0035,REF-000035,IML555035,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-15,2026-06-16,2026-06-14,,Awaiting Appointment,,,,20FR,,Sample load for Supabase/TMS testing.,false,925.00,,,,2026-06-14 09:00:00,2026-06-16 09:00:00,,,,PU-00035,DL-00035,Exported,Approved,925.00,579.21,0.00,345.79
Export Local,CLT-2026-0036,EXL-2026-0036,REF-000036,EXL555036,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-14,2026-06-16,2026-06-16,2026-06-17,Ready to Dispatch,,,,40FR,,Sample load for Supabase/TMS testing.,false,1350.00,,,,2026-06-16 14:00:00,2026-06-16 10:00:00,,,,PU-00036,DL-00036,Exported,Paid,1350.00,609.61,125.00,865.39
Import,CLT-2026-0037,IMP-2026-0037,REF-000037,MSCU555037,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-15,2026-06-16,2026-06-16,2026-06-17,Assigned,Diego Moreno,CT-107,CH-2005,20,,Sample load for Supabase/TMS testing.,false,1350.00,MSC,TEXAS STAR,Barbours Cut,2026-06-16 07:00:00,2026-06-16 15:00:00,Bayport Empty Yard,2026-06-17,TRAC,PU-00037,DL-00037,Paid,Pending,1350.00,649.47,0.00,700.53
Export,CLT-2026-0038,EXP-2026-0038,REF-000038,TRHU555038,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-14,2026-06-16,2026-06-14,2026-06-16,En Route to Pickup,Oscar Silva,CT-108,CH-2006,40,,Sample load for Supabase/TMS testing.,false,850.00,Hapag-Lloyd,LONE PIONEER,Port Houston,2026-06-14 13:00:00,2026-06-16 11:00:00,,,FlexiVan,PU-00038,DL-00038,Not Ready,Paid,850.00,536.41,0.00,313.59
Import Local,CLT-2026-0039,IML-2026-0039,REF-000039,LOCAL555039,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-14,2026-06-16,2026-06-15,2026-06-17,At Pickup,Andre Johnson,CT-109,CH-2007,40HC,,Sample load for Supabase/TMS testing.,false,700.00,,,,2026-06-15 07:00:00,2026-06-16 10:00:00,,,,PU-00039,DL-00039,Ready,Paid,700.00,404.20,0.00,295.80
Export Local,CLT-2026-0040,EXL-2026-0040,REF-000040,EXL555040,Portside Logistics,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-13,2026-06-16,2026-06-15,,Loaded,Sam Patel,CT-110,CH-2008,40ST,,Sample load for Supabase/TMS testing.,false,550.00,,,,2026-06-15 10:00:00,2026-06-16 13:00:00,,,,PU-00040,DL-00040,Ready,Paid,550.00,259.81,175.00,465.19
Import,CLT-2026-0041,IMP-2026-0041,REF-000041,CMAU555041,Houston Industrial Supply,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-14,2026-06-16,2026-06-16,2026-06-19,En Route To Delivery,Victor Reza,CT-101,CH-2001,20FR,,Sample load for Supabase/TMS testing.,false,700.00,Evergreen,GULF TRADER,Bayport Terminal,2026-06-16 08:00:00,2026-06-16 11:00:00,Bayport Empty Yard,2026-06-17,DCLI,PU-00041,DL-00041,Not Ready,Approved,700.00,320.86,0.00,379.14
Export,CLT-2026-0042,EXP-2026-0042,REF-000042,TGHU555042,Andes Coffee Trading,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-13,2026-06-16,2026-06-16,2026-06-16,Delivered,Miguel Torres,CT-102,CH-2002,40FR,POD needed before billing.,Sample load for Supabase/TMS testing.,false,1350.00,ZIM,TEXAS STAR,Barbours Cut,2026-06-16 09:00:00,2026-06-16 16:00:00,,,TRAC,PU-00042,DL-00042,Paid,Paid,1350.00,846.22,75.00,578.78
Import Local,CLT-2026-0043,IML-2026-0043,REF-000043,LOCAL555043,Colombia Fresh Imports,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-15,2026-06-16,2026-06-16,,Returning Empty,Carlos Ramirez,CT-103,CH-2003,20,,Sample load for Supabase/TMS testing.,false,550.00,,,,2026-06-16 08:00:00,2026-06-16 11:00:00,,,,PU-00043,DL-00043,Invoiced,Paid,550.00,267.23,0.00,282.77
Export Local,CLT-2026-0044,EXL-2026-0044,REF-000044,REF555044,Panama Auto Parts,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-15,2026-06-16,2026-06-14,,POD Received,Juan Martinez,CT-104,CH-2004,40,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,625.00,,,,2026-06-14 08:00:00,2026-06-16 16:00:00,,,,PU-00044,DL-00044,Ready,Approved,625.00,329.07,0.00,295.93
Import,CLT-2026-0045,IMP-2026-0045,REF-000045,ONEU555045,Bogota Textiles LLC,Turning Basin,Sugar Land Fulfillment,"11900 Southwest Fwy, Sugar Land, TX",2026-06-15,2026-06-16,2026-06-16,2026-06-18,Ready for ProfitTools,Luis Garcia,CT-105,CH-2005,40HC,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,775.00,Hapag-Lloyd,HOUSTON BRIDGE,Turning Basin,2026-06-16 09:00:00,2026-06-16 16:00:00,Bayport Empty Yard,2026-06-17,Private Chassis,PU-00045,DL-00045,Ready,Pending,775.00,383.30,175.00,566.70
Export,CLT-2026-0046,EXP-2026-0046,REF-000046,TGHU555046,Gulf Coast Produce,Bayport Terminal,Katy Crossdock,"1800 Commerce Park Dr, Katy, TX",2026-06-14,2026-06-16,2026-06-15,2026-06-17,Exported to ProfitTools,Rafael Gomez,CT-106,CH-2006,40ST,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1350.00,ONE,GULF TRADER,Bayport Terminal,2026-06-15 09:00:00,2026-06-16 10:00:00,,,DCLI,PU-00046,DL-00046,Exported,Pending,1350.00,715.41,125.00,759.59
Import Local,CLT-2026-0047,IML-2026-0047,REF-000047,LOCAL555047,Lone Star Plastics,Barbours Cut,North Houston Warehouse,"7420 North Freeway, Houston, TX",2026-06-14,2026-06-16,2026-06-16,,Invoiced,Diego Moreno,CT-107,CH-2007,20FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,550.00,,,,2026-06-16 13:00:00,2026-06-16 10:00:00,,,,PU-00047,DL-00047,Invoiced,Paid,550.00,259.42,75.00,365.58
Export Local,CLT-2026-0048,EXL-2026-0048,REF-000048,EXL555048,Baytown Distribution,Port Houston,Baytown Distribution Center,"4200 Logistics Dr, Baytown, TX",2026-06-14,2026-06-16,2026-06-15,2026-06-17,Closed,Oscar Silva,CT-108,CH-2008,40FR,Ready for invoice review.,Sample load for Supabase/TMS testing.,true,1050.00,,,,2026-06-15 13:00:00,2026-06-16 08:00:00,,,,PU-00048,DL-00048,Invoiced,Pending,1050.00,661.40,0.00,388.60
Import,CLT-2026-0049,IMP-2026-0049,REF-000049,MAEU555049,Katy Crossdock,Ceres Terminal,Pasadena Storage Yard,"2300 Red Bluff Rd, Pasadena, TX",2026-06-20,2026-06-23,2026-06-23,2026-06-26,New,,,,20,,Sample load for Supabase/TMS testing.,false,625.00,ZIM,BAYPORT EXPRESS,Ceres Terminal,2026-06-23 09:00:00,2026-06-23 11:00:00,Bayport Empty Yard,2026-06-24,COCP,PU-00049,DL-00049,Paid,Approved,625.00,399.86,0.00,225.14
